Tipo,Modelo,Ano,Valor (R$),Cor
Carro,BMW 330i,2024,250.000,Preto
Carro,Ford Ranger,2023,180.000,Preto
Carro,Jeep Cherokee,2024,220.000,Vermelho
Carro,Honda Civic,2023,110.000,Preto
Carro,Volkswagen Passat,2023,160.000,Cinza
Carro,Chevrolet Tracker,2024,145.000,Azul
Carro,Mercedes-Benz GLA,2024,240.000,Cinza
Carro,Toyota Corolla,2023,120.000,Preto
Carro,Hyundai Creta,2023,160.000,Vermelho
Carro,BMW X1,2023,220.000,Vermelho
Carro,Fiat Toro,2024,130.000,Vermelho
Moto,BMW F 900 R,2024,45.000,Preto
Moto,Ducati Panigale V2,2023,85.000,Preto
Moto,KTM 390 Duke,2023,27.000,Branco
Moto,Yamaha MT-07,2024,35.000,Cinza
Moto,Suzuki GSX-R1000,2023,90.000,Prata
Moto,Harley-Davidson Street 500,2023,40.000,Azul
Moto,Honda NC 750X,2024,45.000,Cinza
Moto,Kawasaki Z800,2023,40.000,Prata
Carro,Toyota RAV4,2024,210.000,Vermelho
Carro,Nissan Kicks,2024,130.000,Preto
Carro,Renault Duster,2023,120.000,Cinza
Carro,Peugeot 3008,2023,190.000,Branco
Carro,Chevrolet Tracker,2023,145.000,Branco
Carro,Volvo XC60,2024,260.000,Branco
Carro,Honda HR-V,2023,135.000,Prata
Carro,BMW X6,2024,400.000,Preto
Carro,Jeep Renegade,2023,160.000,Branco
Carro,Hyundai HB20,2024,80.000,Branco
Carro,Fiat Argo,2023,70.000,Preto
Carro,Ford Ecosport,2024,100.000,Vermelho
Carro,Nissan Versa,2024,95.000,Azul
Carro,Volkswagen Gol,2023,50.000,Azul
Moto,Kawasaki Ninja 400,2024,30.000,Prata
Moto,Yamaha XTZ 250,2023,18.000,Prata
Moto,Honda XRE 300,2023,25.000,Branco
Moto,BMW G 310 GS,2023,28.000,Cinza
Moto,Yamaha Fazer 250,2023,20.000,Cinza
Moto,Suzuki V-Strom 650,2023,35.000,Preto
Moto,Ducati Scrambler 800,2024,40.000,Vermelho
Moto,Harley-Davidson Iron 883,2024,45.000,Vermelho
Carro,Volkswagen T-Cross,2023,130.000,Branco
Carro,Chevrolet Onix,2023,70.000,Prata
Carro,Toyota Etios,2023,60.000,Branco
Carro,Fiat Uno,2023,40.000,Cinza
Carro,Hyundai i30,2024,100.000,Preto
Carro,Audi A3,2023,170.000,Preto
Carro,Nissan Frontier,2023,195.000,Vermelho
Carro,Land Rover Range Rover,2024,650.000,Vermelho
Carro,Porsche Macan,2023,500.000,Preto
Carro,Mercedes-Benz E-Class,2023,380.000,Cinza
